,label,snv,sna,cn,jc,aa,pa,sd
0,1,3,52,2,0.03508771929824561,0.8957294239399778,156,1
1,0,3,4,2,0.03508771929824561,0.9064580218683431,12,3
2,0,3,23,0,0.0,0.0,69,27
3,1,7,517,7,0.046357615894039736,2.424305396839185,3619,3
4,0,7,473,7,0.045454545454545456,2.424305396839185,3311,3
5,0,7,554,7,0.041666666666666664,2.424305396839185,3878,3
6,1,3,3575,3,0.01694915254237288,1.2274709590565758,10725,3
7,0,3,1,1,0.1111111111111111,0.35609860143758665,3,3
8,0,3,25,3,0.037037037037037035,1.2274709590565758,75,3
9,1,9,3289,4,0.021739130434782608,1.3090544825508055,29601,3
10,0,9,31,5,0.05154639175257732,1.5933825573235232,279,3
11,0,9,43,5,0.047619047619047616,1.5933825573235232,387,3
12,1,1,3575,0,0.0,0.0,3575,1
13,0,1,27,1,0.008130081300813009,0.2814304284315703,27,3
14,0,1,5,0,0.0,0.0,5,9
15,1,5,310,4,0.026490066225165563,1.2559066015275557,1550,3
16,0,5,355,4,0.024390243902439025,1.2559066015275557,1775,3
17,0,5,4,0,0.0,0.0,20,8
18,1,4,515,3,0.020134228187919462,1.3519688199603865,2060,3
19,0,4,52,0,0.0,0.0,208,5
20,0,4,1438,3,0.019230769230769232,1.3519688199603865,5752,3
21,1,7,643,5,0.034722222222222224,1.550351108694337,4501,3
22,0,7,12,4,0.125,1.206147367880928,84,14
23,0,7,185,5,0.03225806451612903,1.550351108694337,1295,3
24,1,3,517,3,0.019867549668874173,0.9460930991284808,1551,3
25,0,3,13,3,0.06521739130434782,0.9460930991284808,39,3
26,0,3,23,2,0.1,0.6223845245204342,69,25
27,1,3,185,3,0.01935483870967742,1.1636640774970877,555,3
28,0,3,3,0,0.0,0.0,9,5
29,0,3,60,3,0.02564102564102564,1.1636640774970877,180,3
30,1,7,223,5,0.037037037037037035,2.7916710153527293,1561,1
31,0,7,13,4,0.058823529411764705,1.9191681458035734,91,3
32,0,7,95,5,0.03816793893129771,2.345007233281327,665,3
33,1,1,241,1,0.0078125,0.4146590764403245,241,3
34,0,1,4,0,0.0,0.0,4,8
35,0,1,1,0,0.0,0.0,1,5
36,1,4,643,4,0.027777777777777776,1.9809050759752223,2572,3
37,0,4,2,2,0.05405405405405406,0.6828173496782293,8,4
38,0,4,14,2,0.03125,0.6828173496782293,56,3
39,1,3,554,3,0.017857142857142856,1.080042359568285,1662,3
40,0,3,29,2,0.1111111111111111,0.6252192741797407,87,31
41,0,3,804,3,0.02027027027027027,1.080042359568285,2412,3
42,1,2,3289,1,0.005434782608695652,0.2814304284315703,6578,1
43,0,2,18,2,0.019230769230769232,0.5657585032042879,36,3
44,0,2,7,2,0.09523809523809523,0.5657585032042879,14,4
45,1,2,3575,1,0.0056179775280898875,0.588591910067779,7150,1
46,0,2,16,1,0.019230769230769232,0.2814304284315703,32,3
47,0,2,3,1,0.07142857142857142,0.2814304284315703,6,3
48,1,1,3575,1,0.005649717514124294,0.744921859773347,3575,3
49,0,1,8,0,0.0,0.0,8,12
50,0,1,10,0,0.0,0.0,10,5
51,1,12,473,10,0.06493506493506493,3.9771562972056786,5676,3
52,0,12,28,3,0.125,1.009640099672675,336,31
53,0,12,98,9,0.06666666666666667,3.4738272117587687,1176,3
54,1,6,258,5,0.03968253968253968,1.631986455358682,1548,3
55,0,6,1,4,0.26666666666666666,1.206147367880928,6,3
56,0,6,60,5,0.042735042735042736,1.631986455358682,360,3
57,1,3,858,3,0.018404907975460124,0.9725332561930917,2574,3
58,0,3,33,3,0.030303030303030304,0.9725332561930917,99,3
59,0,3,241,3,0.0234375,0.9725332561930917,723,3
60,1,8,162,7,0.05263157894736842,2.360335643442119,1296,3
61,0,8,96,7,0.06363636363636363,2.360335643442119,768,3
62,0,8,21,5,0.08196721311475409,1.5470385672879512,168,3
63,1,4,52,2,0.03508771929824561,1.462455713984984,208,2
64,0,4,517,1,0.006535947712418301,0.5022031461958567,2068,3
65,0,4,18,1,0.029411764705882353,0.5022031461958567,72,20
66,1,1,11,1,0.043478260869565216,0.45258800841731317,11,3
67,0,1,3,0,0.0,0.0,3,5
68,0,1,11,1,0.016129032258064516,0.45258800841731317,11,3
69,1,1,3575,1,0.005649717514124294,0.2843280747727176,3575,3
70,0,1,19,1,0.02702702702702703,0.2843280747727176,19,3
71,0,1,5,0,0.0,0.0,5,5
72,1,5,3289,2,0.010869565217391304,0.7890921941784323,16445,2
73,0,5,48,3,0.022556390977443608,1.0734202689511498,240,3
74,0,5,1,1,0.1111111111111111,0.37385118231751213,5,4
75,1,3,1228,3,0.017964071856287425,0.9126081801408757,3684,3
76,0,3,98,3,0.022388059701492536,0.9126081801408757,294,3
77,0,3,3,3,0.10714285714285714,0.9126081801408757,9,3
78,1,1,1438,1,0.00641025641025641,0.2843280747727176,1438,3
79,0,1,4,0,0.0,0.0,4,5
80,0,1,14,1,0.027777777777777776,0.2843280747727176,14,5
81,1,25,310,19,0.12582781456953643,7.536396369153412,7750,3
82,0,25,1,2,0.10526315789473684,0.6849061266843045,25,3
83,0,25,25,13,0.16666666666666666,4.746738860928567,625,3
84,1,1,3289,1,0.00546448087431694,0.4152410118609203,3289,3
85,0,1,2,0,0.0,0.0,2,5
86,0,1,10,0,0.0,0.0,10,5
87,1,1,1228,1,0.005988023952095809,0.5056318270792695,1228,3
88,0,1,3,0,0.0,0.0,3,5
89,0,1,3,0,0.0,0.0,3,7
90,1,2,291,1,0.007194244604316547,0.34684967693658786,582,1
91,0,2,3,1,0.07142857142857142,0.40586178233803144,6,4
92,0,2,11,1,0.02,0.34684967693658786,22,15
93,1,3,858,3,0.018404907975460124,1.07023033497608,2574,3
94,0,3,70,3,0.025210084033613446,1.07023033497608,210,3
95,0,3,13,2,0.05555555555555555,0.5657585032042879,39,15
96,1,2,29,2,0.028169014084507043,0.7436232163479111,58,3
97,0,2,141,2,0.013157894736842105,0.7436232163479111,282,3
98,0,2,46,2,0.01818181818181818,0.7436232163479111,92,3
99,1,2,1438,1,0.00641025641025641,0.2814304284315703,2876,4
100,0,2,554,1,0.005952380952380952,0.2814304284315703,1108,4
101,0,2,14,1,0.009259259259259259,0.2814304284315703,28,4
102,1,7,3575,3,0.016853932584269662,1.0843082726786915,25025,3
103,0,7,7,3,0.15789473684210525,0.9218571046418745,49,4
104,0,7,3,3,0.16666666666666666,1.009640099672675,21,7
105,1,2,1438,2,0.01282051282051282,0.7773986714145815,2876,3
106,0,2,10,2,0.031746031746031744,0.7773986714145815,20,4
107,0,2,18,2,0.02564102564102564,0.7773986714145815,36,3
108,1,31,1228,19,0.1130952380952381,8.60894944093607,38068,2
109,0,31,3,1,0.047619047619047616,0.3685290160841292,93,5
110,0,31,5,1,0.05,0.32370857460804653,155,15
111,1,1,1438,1,0.00641025641025641,0.2814304284315703,1438,3
112,0,1,12,1,0.025,0.2814304284315703,12,3
113,0,1,16,0,0.0,0.0,16,20
114,1,0,3575,0,0.0,0.0,0,999999
115,0,0,355,0,0.0,0.0,0,999999
116,0,0,5,0,0.0,0.0,0,999999
117,1,3,3289,1,0.005434782608695652,0.2814304284315703,9867,3
118,0,3,1,1,0.06666666666666667,0.2814304284315703,3,3
119,0,3,33,1,0.01,0.2814304284315703,99,3
120,1,2,343,2,0.016129032258064516,0.7588628172537333,686,3
121,0,2,18,0,0.0,0.0,36,22
122,0,2,2,0,0.0,0.0,4,5
123,1,4,3575,2,0.011235955056179775,0.6010083648413113,14300,1
124,0,4,18,3,0.028846153846153848,0.8824387932728815,72,3
125,0,4,1,0,0.0,0.0,4,5
126,1,9,106,4,0.034482758620689655,2.0084299806768295,954,3
127,0,9,10,5,0.06097560975609756,2.5021825625216807,90,3
128,0,9,40,4,0.038834951456310676,1.7055427923247684,360,3
129,1,4,343,3,0.024193548387096774,0.9636906189926957,1372,3
130,0,4,299,3,0.02142857142857143,0.9636906189926957,1196,3
131,0,4,60,3,0.02564102564102564,0.9636906189926957,240,3
132,1,3,179,3,0.021739130434782608,0.9493427438530255,537,3
133,0,3,1,0,0.0,0.0,3,5
134,0,3,16,0,0.0,0.0,48,20
135,1,1,3575,0,0.0,0.0,3575,1
136,0,1,14,1,0.013157894736842105,0.2814304284315703,14,5
137,0,1,25,1,0.012345679012345678,0.2814304284315703,25,3
138,1,1,517,1,0.006622516556291391,0.36449660681232765,517,3
139,0,1,3,0,0.0,0.0,3,5
140,0,1,14,1,0.013157894736842105,0.36449660681232765,14,4
141,1,1,3575,1,0.005649717514124294,0.2843280747727176,3575,3
142,0,1,18,1,0.01282051282051282,0.2843280747727176,18,3
143,0,1,11,1,0.043478260869565216,0.2843280747727176,11,3
144,1,1,858,1,0.006134969325153374,0.2814304284315703,858,3
145,0,1,31,1,0.011494252873563218,0.2814304284315703,31,3
146,0,1,16,1,0.015873015873015872,0.2814304284315703,16,3
147,1,5,60,4,0.04081632653061224,1.206147367880928,300,3
148,0,5,158,4,0.02877697841726619,1.206147367880928,790,3
149,0,5,14,4,0.1111111111111111,1.206147367880928,70,5
150,1,7,95,6,0.04580152671755725,2.0587431569206514,665,3
151,0,7,77,6,0.05660377358490566,2.0587431569206514,539,3
152,0,7,14,5,0.13157894736842105,2.347696549420392,98,5
153,1,1,355,1,0.006097560975609756,0.2843280747727176,355,3
154,0,1,4,1,0.0196078431372549,0.2843280747727176,4,4
155,0,1,3,1,0.023809523809523808,0.2843280747727176,3,7
156,1,7,3289,6,0.03260869565217391,2.327796421430845,23023,1
157,0,7,36,7,0.07,2.612124496203563,252,3
158,0,7,31,7,0.0660377358490566,2.612124496203563,217,3
159,1,3,908,3,0.01764705882352941,0.8894670778123344,2724,3
160,0,3,299,3,0.02142857142857143,0.8894670778123344,897,3
161,0,3,18,2,0.16666666666666666,0.5657585032042879,54,20
162,1,7,81,6,0.05263157894736842,3.9342328935404236,567,1
163,0,7,45,6,0.046153846153846156,3.0275321540393767,315,3
164,0,7,19,3,0.07317073170731707,0.9994853515624912,133,3
165,1,1,3575,1,0.005649717514124294,0.2843280747727176,3575,3
166,0,1,185,1,0.0064516129032258064,0.2843280747727176,185,3
167,0,1,162,1,0.007518796992481203,0.2843280747727176,162,3
168,1,1,517,1,0.006622516556291391,0.37385118231751213,517,3
169,0,1,10,1,0.02631578947368421,0.37385118231751213,10,4
170,0,1,515,1,0.006711409395973154,0.37385118231751213,515,3
171,1,1,3575,1,0.005649717514124294,0.2843280747727176,3575,3
172,0,1,8,1,0.047619047619047616,0.2843280747727176,8,3
173,0,1,3,0,0.0,0.0,3,7
174,1,3,291,3,0.021739130434782608,1.17733948130914,873,3
175,0,3,3,1,0.14285714285714285,0.2843280747727176,9,5
176,0,3,310,3,0.019867549668874173,1.17733948130914,930,3
177,1,6,764,4,0.022099447513812154,1.9232567804913454,4584,2
178,0,6,473,5,0.032467532467532464,2.2701064574279335,2838,3
179,0,6,92,5,0.034722222222222224,2.2701064574279335,552,3
180,1,16,1438,10,0.0641025641025641,4.003181067315477,23008,3
181,0,16,14,5,0.06172839506172839,1.6675419010970036,224,5
182,0,16,14,6,0.15,2.06197345524865,224,4
183,1,3,1438,3,0.019230769230769232,0.8894670778123344,4314,3
184,0,3,11,2,0.08333333333333333,0.6080366493807641,33,3
185,0,3,4,1,0.018867924528301886,0.2843280747727176,12,4
186,1,8,3575,7,0.03932584269662921,2.6045786936314395,28600,1
187,0,8,11,3,0.06666666666666667,0.967748388078544,88,4
188,0,8,7,3,0.1111111111111111,0.8894670778123344,56,3
189,1,3,1438,2,0.01282051282051282,0.8636938740997171,4314,3
